phase,variant,roi_frac,scales,saturation_gate,sat_min,val_macro_f1,val_threshold,notes
phase3,V0_baseline,0.18,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",False,100,1.0000,0.590,
phase3,V1_satgate100,0.18,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",True,100,1.0000,0.590,
phase3,V2_satgate150,0.18,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",True,150,1.0000,0.570,
phase3,V3_roi12,0.12,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",False,100,1.0000,0.590,
phase3,V4_roi25,0.25,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",False,100,1.0000,0.590,
phase3,V5_satgate100_roi12,0.12,"(0.5, 0.7, 0.85, 1.0, 1.15, 1.3, 1.5)",True,100,1.0000,0.590,
